term,estimate,std.error,statistic,p.value,model,OR,CI_low,CI_high
(Intercept),-2.2005299753510354,0.9804558602163875,-2.244394739876792,0.027604858547748874,MBzP x Age,0.11074445097769248,0.01620843551644257,0.7566636156777155
log_MBzP,0.41944428825690555,0.25800790399683843,1.6257032507889577,0.10799574481152904,MBzP x Age,1.521116018668804,0.9173637572162867,2.522220791970213
RIDAGEYR,0.18778235732403317,0.02036973794710998,9.218692837954519,3.6409312885017373e-14,MBzP x Age,1.2065708854546515,1.1593478757351956,1.2557174012188739
BMXBMI,-0.014156102265840057,0.011215072760633868,-1.2622390035247497,0.21057642195519136,MBzP x Age,0.9859436242158097,0.9645075248265559,1.0078561391282173
INDFMPIR,-0.347995316783196,0.05922819725078878,-5.8755007401235995,9.536893120484739e-8,MBzP x Age,0.70610218303625,0.6287116311823105,0.7930190379188042
factor(DMDEDUC2)2,-0.14725131505956843,0.6874797637179483,-0.21419003559206012,0.8309507522372801,MBzP x Age,0.8630770458991803,0.22431327570258042,3.3208109721768317
factor(DMDEDUC2)3,-0.8465340454196458,0.6141350039550694,-1.3784168626896554,0.1719658251645072,MBzP x Age,0.42889890289221183,0.12870418426054794,1.4292796303323525
factor(DMDEDUC2)4,-1.1666638297703174,0.6138500631106439,-1.9005680700891792,0.061006356896838775,MBzP x Age,0.31140410733451984,0.09349849365423381,1.0371559398959156
factor(DMDEDUC2)5,-1.5567327593125329,0.63284021154112,-2.459914415870492,0.016080385644684118,MBzP x Age,0.21082375913174287,0.06098669374491082,0.7287927035419607
factor(DMDEDUC2)9,7.300856968186897,1.1501453237786134,6.347769118602449,1.2802547708324916e-8,MBzP x Age,1481.5690412468996,155.4885559261532,14117.09569817961
factor(RIDRETH1)2,-0.5963125031487084,0.2871054380693937,-2.0769808721093574,0.041053443215089074,MBzP x Age,0.5508391131342695,0.31378753514459334,0.9669718984176052
factor(RIDRETH1)3,-0.6855266580267692,0.21781040174520797,-3.147355004783886,0.0023243260943372366,MBzP x Age,0.5038248163063529,0.3287574462858949,0.7721177068195917
factor(RIDRETH1)4,-0.31029561903544173,0.21722715934067038,-1.4284384143182347,0.15710751791445113,MBzP x Age,0.7332301673875747,0.47899704468836046,1.12240040795449
factor(RIDRETH1)5,-0.8190512579227346,0.29747623379005483,-2.7533334259596134,0.007316774194339635,MBzP x Age,0.4408497088302948,0.24607850298022413,0.7897823801023949
URXUCR,-0.0010877837426442472,0.0012709981366636673,-0.8558499900713054,0.3946691802374894,MBzP x Age,0.9989128076796252,0.9964274566820833,1.0014043577933591
log_MBzP:RIDAGEYR,-0.008080940722360637,0.008673085174881471,-0.9317262034695829,0.35431677128683525,MBzP x Age,0.9919516223067805,0.9752317073392782,1.0089581927987255
(Intercept),-1.2033286941870356,0.7857697339390609,-1.5314011754496486,0.12966512116356232,MBzP x BMI,0.3001932952867143,0.06434877557480445,1.4004309131000945
log_MBzP,-0.05983094566603141,0.2009460543621476,-0.29774630736567387,0.7666784101397276,MBzP x BMI,0.9419237564185049,0.6352826810011888,1.396575712574615
BMXBMI,-0.0329358225369932,0.0190651527642638,-1.7275404474455056,0.08797832264426525,MBzP x BMI,0.9676006557517135,0.9321108608552613,1.0044417121715392
RIDAGEYR,0.173311395914207,0.014378555423054242,12.053463704449998,1.3891770503626778e-19,MBzP x BMI,1.1892363707783147,1.156189203014049,1.223228120358768
INDFMPIR,-0.34868719441244217,0.05938467468129361,-5.871669690602514,9.691521689626325e-8,MBzP x BMI,0.7056138156965456,0.6280841298307395,0.7927136401870458
factor(DMDEDUC2)2,-0.18996107568942366,0.6847294034702075,-0.27742503056930407,0.782178447134044,MBzP x BMI,0.8269913233839977,0.21609639310030487,3.164859159102045
factor(DMDEDUC2)3,-0.8867781293805929,0.6105627892993558,-1.45239465116799,0.15035223006113899,MBzP x BMI,0.4119809661435144,0.12449606171271144,1.363322776074721
factor(DMDEDUC2)4,-1.2113193339539214,0.6065467128106474,-1.9970750947455431,0.04926052964085826,MBzP x BMI,0.2978041170474384,0.09070426579371282,0.9777631884712498
factor(DMDEDUC2)5,-1.6082465516266957,0.6261175206134866,-2.568601737978667,0.012094668085402454,MBzP x BMI,0.20023841415191995,0.05869287778109611,0.6831394884336343
factor(DMDEDUC2)9,7.2525938545951,1.1446486092701342,6.336087595667978,1.3462056045235614e-8,MBzP x BMI,1411.7620084560824,149.76727367483747,13307.793616161738
factor(RIDRETH1)2,-0.5806932564651542,0.2913353361328137,-1.9932125782381176,0.04969051919760193,MBzP x BMI,0.55951034791671,0.31609562029891947,0.9903706641991332
factor(RIDRETH1)3,-0.6815401703022991,0.2155675285516373,-3.1616086842088658,0.002225784921553838,MBzP x BMI,0.5058373164902464,0.33152484456618664,0.7718015555934323
factor(RIDRETH1)4,-0.311432399138385,0.21503960337209027,-1.4482560154256936,0.15150285869120167,MBzP x BMI,0.7323971195082479,0.4805086629280748,1.1163285535692224
factor(RIDRETH1)5,-0.8418541427560597,0.293936043259809,-2.8640725152986697,0.005354719071865422,MBzP x BMI,0.4309108121079324,0.24220548839116976,0.7666388124600707
URXUCR,-9.946076744452431e-4,0.0012850330962111889,-0.7739938195971446,0.4412445832286038,MBzP x BMI,0.9990058867838235,0.9964928917778688,1.0015252191595199
log_MBzP:BMXBMI,0.008460305878872119,0.006948781090156758,1.2175237310118316,0.22702929344339368,MBzP x BMI,1.0084961954073866,0.9948539812972312,1.0223254822029066
